UUID,Rank,GameID,Country,Date
6eb9dea4-11ce-4019-9585-250fb6075e78,43,440,global,2024-08-10
b6c5eacd-1136-4c3e-8d0d-572077ca2d8f,44,359550,global,2024-08-10
45ab1ef2-5cd4-4ff7-9dbd-e459be146de2,45,739630,global,2024-08-10
2c07108b-7633-40e5-9b7e-49a5e89576f1,46,1286680,global,2024-08-10
c8ee0e5e-922d-4b74-af26-2362445226f3,47,1716740,global,2024-08-10
5997c3c3-70a0-4503-8ddb-9800acf8e7c1,48,38150,global,2024-08-10
24afc212-04d5-43eb-a682-3c8b031af3f1,49,2669320,global,2024-08-10
35f3f0de-b83d-4227-a1ca-2e08cdb0e1bb,50,15435,global,2024-08-10
3982dc30-2e92-4173-a16a-eb8b7309aa3f,51,1962663,global,2024-08-10
3e4e3ad8-2ea2-4b88-9e32-1b5fe66a546f,52,427410,global,2024-08-10
c6196f8e-2d5f-41d8-9ec6-7a7ce3ee92c5,53,202970,global,2024-08-10
d907d139-daa9-4f83-b4f7-f2ac08876ff7,54,2215430,global,2024-08-10
8c32ae96-0ca2-4919-8616-0e0902945b5c,55,1091500,global,2024-08-10
d182dc84-3a52-449f-8449-da0e0e631814,56,30424,global,2024-08-10
327aaa61-cb2c-4d15-97eb-55c7e1d9c3e2,57,1938090,global,2024-08-10
a64cc73e-70ae-46df-adc1-94dd21194cad,58,199943,global,2024-08-10
eac38afa-b274-4ab8-b063-e359f738c2b0,59,1144200,global,2024-08-10
f9b46d03-a10c-4392-877c-8fc951ae5799,60,2195250,global,2024-08-10
