UUID,Rank,GameID,Country,Date,SystemDate
59a68e59-ba7e-49fa-ae34-4465a5512e1b,50,1091500,FR,2024-08-12,2024-08-14 18:45
c4970a59-07b2-4ad0-b0c7-fac65ca3562d,52,2840770,FR,2024-08-12,2024-08-14 18:45
a59e354e-6cb6-49e7-ab24-3007a787cdbb,53,2808930,FR,2024-08-12,2024-08-14 18:45
89e51451-7881-4bb0-b06f-71820210df0f,54,578080,FR,2024-08-12,2024-08-14 18:45
015f94a7-927f-44f6-bf4d-28fb903f4826,55,582660,FR,2024-08-12,2024-08-14 18:45
4409b3ef-6bad-4634-a31c-2433a22e857c,56,1149460,FR,2024-08-12,2024-08-14 18:45
201d2221-1d05-4eee-9f97-289c03b6cf6b,58,359550,FR,2024-08-12,2024-08-14 18:45
0168b7b6-0dde-4daf-ad9f-8eb71b64794d,59,570,FR,2024-08-12,2024-08-14 18:45
f063ab9e-df07-4789-9d89-2c50a415b35a,60,1716740,FR,2024-08-12,2024-08-14 18:45
752e3a77-d476-491e-9549-e56e32b1d1da,61,2399830,FR,2024-08-12,2024-08-14 18:45
7a5ce6fd-9a30-49d0-95ca-6612ab2906ed,62,1623730,FR,2024-08-12,2024-08-14 18:45
b0027727-ef41-4e69-9da4-327d702315b3,63,413150,FR,2024-08-12,2024-08-14 18:45
053f71c3-c763-4b2e-a1f5-290d3db94394,64,548430,FR,2024-08-12,2024-08-14 18:45
4ffda008-bed8-4200-b1f1-6b3e264976d0,66,1332010,FR,2024-08-12,2024-08-14 18:45
bd170e69-5e2e-4676-87fa-2774d0d33dc0,67,1966720,FR,2024-08-12,2024-08-14 18:45
