GameID,Rank,PeakPlayers,AllTimePeak,Date
212200,719,578,1229,2024-08-08
287450,720,714,2734,2024-08-08
349040,721,824,8466,2024-08-08
445220,722,824,4533,2024-08-08
1385380,723,707,14037,2024-08-08
1276390,724,954,17137,2024-08-08
1676840,725,815,28528,2024-08-08
412020,726,1121,15375,2024-08-08
1324130,727,1014,8792,2024-08-08
1483870,728,3625,41766,2024-08-08
22370,729,815,11471,2024-08-08
1286680,730,883,15021,2024-08-08
307950,731,1570,5436,2024-08-08
342200,732,747,4155,2024-08-08
2203070,733,732,3276,2024-08-08
794260,734,746,11296,2024-08-08
1188930,735,968,7084,2024-08-08
3107070,736,1279,4979,2024-08-08
1449560,737,925,3521,2024-08-08
1785150,738,771,5578,2024-08-08
1954420,739,1007,1789,2024-08-08
1971650,740,831,17008,2024-08-08
585420,741,1336,4116,2024-08-08
109600,742,1020,14866,2024-08-08
1017900,743,737,2708,2024-08-08
750920,744,872,38268,2024-08-08
1213210,745,992,42587,2024-08-08
774361,746,712,3247,2024-08-08
1437830,747,579,1026,2024-08-08
1634680,748,620,1714,2024-08-08
1243830,749,1243,3077,2024-08-08
707010,750,971,3108,2024-08-08
1451190,751,678,7433,2024-08-08
2080690,752,982,26154,2024-08-08
2654540,753,529,659,2024-08-08
4760,754,970,4413,2024-08-08
