App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2380740,RimWorld - Anomaly,"Apr 11, 2024",Very Positive,"| 2,149 User Reviews",NT$ 408.00,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Indie', 'Sci-fi', 'Space', 'Tactical RPG', 'Western', 'Cartoony']",sim_physics_sandbox,2024-08-05 12:10
493340,Planet Coaster,"Nov 17, 2016",Very Positive,"| 54,359 User Reviews",NT$ 958.00,"['Simulation', 'Building', 'Management', 'Sandbox', 'Family Friendly', 'Relaxing', 'Strategy', 'Realistic', 'Economy', 'Singleplayer', 'Funny', 'Great Soundtrack', 'Atmospheric', 'Colorful', 'Third Person', 'City Builder', 'Casual', 'God Game', '3D', 'First-Person']",sim_physics_sandbox,2024-08-05 12:10
1248130,Farming Simulator 22,"Nov 22, 2021",Very Positive,"| 55,416 User Reviews",NT$ 650.00,"['Simulation', 'Farming Sim', 'Co-op', 'Agriculture', 'Multiplayer', 'Moddable', 'Management', 'Sandbox', '3D', 'First-Person', 'Economy', 'Open World', 'Online Co-Op', 'Immersive Sim', 'Family Friendly', 'Character Customization', 'Nature', 'Horses', 'Third Person', 'America']",sim_physics_sandbox,2024-08-05 12:10
1350840,Song Of The Prairie,"Aug 1, 2024",Very Positive,| 777 User Reviews,NT$ 229.00,"['Farming Sim', 'Life Sim', 'Agriculture', 'Crafting', 'Story Rich', 'Relaxing', 'Nonlinear', 'Sandbox', 'Dating Sim', 'Character Customization', 'Open World', 'RPG', 'Simulation', 'Casual', 'Singleplayer', 'Drama', 'Farming', 'Exploration', 'Soundtrack', 'Cute']",sim_physics_sandbox,2024-08-05 12:10
613100,House Flipper,"May 17, 2018",Very Positive,"| 77,917 User Reviews",NT$ 408.00,"['Simulation', 'Design & Illustration', 'Building', 'Singleplayer', 'Relaxing', 'Sandbox', 'Casual', 'Immersive Sim', 'Education', 'Management', 'First-Person', 'Economy', 'Family Friendly', 'Base Building', 'Replay Value', '3D', 'Realistic', 'Multiplayer', 'Indie', 'Moddable']",sim_physics_sandbox,2024-08-05 12:10
2244130,Ratopia,"Nov 6, 2023",Very Positive,"| 2,398 User Reviews",NT$ 328.00,"['Building', 'Colony Sim', 'Base Building', 'Survival', 'Difficult', 'Strategy', 'Management', '2D', 'Cute', 'City Builder', 'Simulation', 'Resource Management', 'Sandbox', 'Cartoony', 'Open World', 'Exploration', 'Singleplayer', 'Adventure', 'Indie', 'Casual']",sim_physics_sandbox,2024-08-05 12:10
701160,Kingdom Two Crowns,"Dec 11, 2018",Very Positive,"| 20,663 User Reviews",NT$ 82.00,"['Atmospheric', 'Simulation', 'Adventure', 'Co-op', 'Multiplayer', 'Controller', 'Tower Defense', 'Minimalist', 'Medieval', 'Local Co-Op', 'Side Scroller', 'Base Building', '2D', 'Online Co-Op', 'Sandbox', 'City Builder', 'Colony Sim', 'Survival', 'Pixel Graphics', 'Strategy']",sim_physics_sandbox,2024-08-05 12:10
2362300,Train Sim World® 4,"Sep 26, 2023",Mostly Positive,"| 2,667 User Reviews",NT$ 599.00,"['Trains', 'Simulation', 'Automobile Sim', 'Transportation', 'Immersive Sim', 'Realistic', 'Driving', 'Atmospheric', 'Adventure', 'Family Friendly', 'Open World', 'Relaxing', 'Physics', 'Singleplayer', 'First-Person', 'Sandbox', '3D', 'Action']",sim_physics_sandbox,2024-08-05 12:10
1167630,Teardown,"Apr 21, 2022",Overwhelmingly Positive,"| 87,689 User Reviews",NT$ 849.00,"['Destruction', 'Physics', 'Sandbox', 'Voxel', 'First-Person', 'Singleplayer', 'Heist', 'Open World', 'Realistic', 'Simulation', '3D', 'Action', 'Puzzle', 'Driving', 'Indie', 'Immersive Sim', 'Replay Value', 'Tactical', 'Puzzle Platformer', 'Runner']",sim_physics_sandbox,2024-08-05 12:10
233860,Kenshi,"Dec 6, 2018",Overwhelmingly Positive,"| 72,665 User Reviews",NT$ 438.00,"['Open World', 'Sandbox', 'RPG', 'Survival', 'Strategy', 'Building', 'Base Building', 'Singleplayer', 'Post-apocalyptic', 'Crafting', 'City Builder', 'Indie', 'Simulation', 'Adventure', 'Management', 'RTS', 'Character Customization', 'Ninja', 'Alternate History', 'Steampunk']",sim_physics_sandbox,2024-08-05 12:10
